close,date,high,low,open,quoteVolume,volume,weightedAverage
7.98000496,1483225200,8.03,7.98000001,7.98000001,87.4688161,700.68113633,8.0106393
8.00850557,1483227000,8.03831394,8.002,8.02999999,4.59673653,36.83366191,8.01300263
8.18448148,1483228800,8.232,8.04482173,8.04482173,144.84952483,1181.54781233,8.15707068
8.2290534,1483230600,8.2421443,8.17758589,8.17758589,307.12071911,2516.83271126,8.19492972
8.24214428,1483232400,8.2421443,8.21398615,8.21648181,241.67546227,1989.95386817,8.23399218
8.24214428,1483234200,8.2421443,8.24214428,8.24214428,293.10931243,2415.84924304,8.24214428
8.4,1483236000,8.4,8.2421443,8.2421443,916.08735322,7633.76119966,8.33300576
8.39300001,1483237800,8.5,8.38750201,8.4,1051.9071533,8895.27462069,8.45633057
8.50009072,1483239600,8.50184434,8.39300001,8.39300001,3947.55086965,33544.77421777,8.4976167
8.52804175,1483241400,8.555,8.514,8.514,389.65022818,3324.37454259,8.53168894
8.46265293,1483243200,8.56316899,8.46265293,8.52804185,333.89028317,2857.38507128,8.55785632
8.42312166,1483245000,8.48,8.42312166,8.46265293,123.2004969,1038.58880806,8.43006996
8.4690455,1483246800,8.47,8.40007624,8.42312166,320.98070967,2697.18896586,8.4029628
8.31891638,1483248600,8.41712292,8.31891638,8.41712292,72.86158338,608.6076562,8.35292932
8.31690134,1483250400,8.31690134,8.3020019,8.3169,222.61921526,1851.49879812,8.31688673
8.3979999,1483252200,8.3979999,8.31690134,8.31690134,15.40916987,129.11058511,8.37881509
8.43,1483254000,8.43153013,8.37316824,8.42188441,85.0726973,715.96652799,8.41593778
8.36000001,1483255800,8.43,8.35822607,8.43,178.52477164,1492.16783058,8.3583237
8.31841306,1483257600,8.43259075,8.31841306,8.38999999,27.3984378,229.37214611,8.37172351
8.32000567,1483259400,8.3565,8.32000497,8.3565,9.00428353,74.95236232,8.32407843
8.32,1483261200,8.35690476,8.32,8.32,18.76408786,156.4856658,8.33963616
8.3169,1483263000,8.3169,8.3169,8.3169,3.702331,30.79191669,8.3169
8.13700006,1483264800,8.3020019,8.1313,8.3020019,331.95052997,2723.86524897,8.20563609
8.21434053,1483266600,8.21434053,8.13230001,8.15000002,219.86939247,1793.93373008,8.15908803
8.17000005,1483268400,8.24664729,8.14900137,8.22102355,456.29772901,3755.65753968,8.23071714
8.21154928,1483270200,8.3,8.17000026,8.22100565,27.53761805,226.53660982,8.22644171
8.19127983,1483272000,8.23985479,8.19122676,8.20969603,17.01236052,139.38533782,8.19318034
8.21836531,1483273800,8.22763845,8.19127983,8.19127983,16.06419557,132.07591389,8.22175709
8.24366683,1483275600,8.25868014,8.21836531,8.22763845,253.19786967,2087.40633643,8.24417021
8.29570473,1483277400,8.29570473,8.24435402,8.24477408,13.43424535,111.0230553,8.26418249
8.31652899,1483279200,8.33387189,8.2815041,8.3,25.98154269,215.94825478,8.31160248
8.25422619,1483281000,8.28585839,8.25422619,8.28585839,93.12065586,770.2758175,8.27180404
8.25261251,1483282800,8.287,8.24700197,8.287,73.00102568,602.63538155,8.25516321
8.41,1483284600,8.41,8.25478555,8.25478555,857.79569396,7174.32613471,8.36367702
8.40057401,1483286400,8.43,8.40057401,8.42009796,142.79746644,1200.22167645,8.40506282
8.343107,1483288200,8.44,8.32288796,8.38881047,119.72881151,1006.84363094,8.40936795
8.22367752,1483290000,8.35270633,8.22095694,8.3431068,543.28291701,4503.43154177,8.28929348
8.2709093,1483291800,8.35392518,8.27090908,8.2792988,1152.39612823,9600.40797209,8.33082282
8.36999943,1483293600,8.371,8.28673859,8.28673875,62.26795098,519.62558742,8.34499255
8.3586897,1483295400,8.36899859,8.28183776,8.34615605,114.65804731,955.33688641,8.33205264
8.30595324,1483297200,8.34416781,8.28,8.31041267,12.45821476,103.37785938,8.29796735
8.28210321,1483299000,8.34416762,8.28000041,8.30595327,18.3134796,151.94749132,8.29703009
8.26173613,1483300800,8.37099999,8.243,8.30000004,201.20493746,1667.17670969,8.28596321
8.15,1483302600,8.245,8.15,8.24360011,220.20213719,1801.46369837,8.18095465
8.08070138,1483304400,8.19368466,8.08070138,8.19368466,1503.92222309,12214.38508745,8.12168668
8.15164861,1483306200,8.15854607,8.08070275,8.08070275,17.70190604,144.00183649,8.13482097
8.12958588,1483308000,8.19001116,8.12958588,8.13129877,21.52054124,175.5192272,8.15589279
8.12423681,1483309800,8.2,8.12423681,8.19000975,262.71128926,2148.36638356,8.17767058
8.21981871,1483311600,8.23399762,8.10526531,8.12423681,594.72890115,4822.33953614,8.10846677
8.16163817,1483313400,8.21981871,8.15302773,8.17469247,11.84437712,96.81501612,8.17392211
8.17073867,1483315200,8.218,8.16660718,8.20126074,64.7915588,529.58140122,8.17361722
8.19187573,1483317000,8.20243014,8.1557747,8.17073868,523.60461287,4283.01743752,8.17986956
8.15990041,1483318800,8.20092105,8.10000031,8.15577499,590.76416049,4809.79832397,8.14165558
8.18104457,1483320600,8.22704518,8.1598,8.1598,176.92922813,1447.9147645,8.18358153
8.21481103,1483322400,8.21481104,8.17087376,8.18775066,34.63726404,284.3720068,8.21000199
8.17,1483324200,8.21497915,8.17,8.1762308,198.60370969,1623.45489081,8.17434323
8.12000001,1483326000,8.2039686,8.12000001,8.17100001,148.13126753,1208.66967554,8.15945003
8.2,1483327800,8.22684144,8.10000009,8.109,516.98733938,4242.61560531,8.2064207
8.1500001,1483329600,8.17407926,8.11013691,8.1600275,217.25838241,1772.42720239,8.15815335
8.22684144,1483331400,8.22684144,8.15000155,8.15000155,1797.32470374,14769.04474815,8.21723794
8.225,1483333200,8.22684144,8.18418557,8.18418557,276.95561753,2277.63424394,8.22382396
